reviewId,content,score,stemmed_text,sentiment_score_based,sentiment_textblob,sentiment_vader,sentiment_ensemble,textblob_polarity,vader_compound
1be1a93d-9f51-4611-83c9-04b82b0ddec8,sangat mudah digunakan untuk melakukan sesuatu tanpa harus menunggu lama,5,sangat mudah guna laku tunggu lama,positive,neutral,neutral,neutral,0.0,0.0
b64ad41a-32c6-4541-b0f9-bf5569d966c7,mantap jiwa❤️👍👍👍,5,mantap,positive,neutral,neutral,neutral,0.0,0.0
79870da4-736a-4231-a111-11c9fca52c05,membantu bgt,5,bantu banget,positive,neutral,neutral,neutral,0.0,0.0
df833340-c8b6-456c-8050-ef291fec92ec,gangguan terus transfer sy g masuk ²,1,ganggu terus transfer masuk,negative,neutral,neutral,neutral,0.0,0.0
56e7f5fb-ec7a-46d7-a7f2-4c6a837e49ae,loading isi pulsa lama sekali,3,loading isi pulsa lama sekali,neutral,neutral,neutral,neutral,0.0,0.0
e98d509f-5d29-4a31-8740-5c3820767b44,kayo melange juara,5,kayo melange juara,positive,neutral,neutral,neutral,0.0,0.0
c4b95098-b8fc-4253-a2a6-b79f716f8f9e,login ulang terlalu bertele-tele,1,login ulang terlalu,negative,neutral,neutral,neutral,0.0,0.0
926b749b-6796-4300-b029-66d6c1aa2724,"ini aplikasi bank yang tidak baik. akun saya tiba tiba di blok, dan saya kasih dokumen lengkap malah tidak ada respon. kemana harusnya di laporkan ini? saya merasa di rugikan. karena saldo saya ada didalamnya",1,aplikasi bank baik akun tiba tiba blok kasih dokumen lengkap malah respon harus lapor rasa rugi saldo dalam,negative,neutral,neutral,neutral,0.0,0.0
ee039057-00eb-49fd-b7f3-89d2576659f2,"KEREN, BANYAK FITUR NYAA!!",5,keren banyak fitur nyaa,positive,neutral,neutral,neutral,0.0,0.0
92a5ce07-1402-435c-8a77-d3be707b58b7,"mau ganti password terjadi kesalahan Mulu susah banget ,belum punya akun di suruh buat akun tapi email nik sama no nya dah terdaftar kek mana ini",1,mau ganti password jadi salah mulu susah banget punya akun suruh buat akun email nik sama nya daftar kek mana,negative,neutral,neutral,neutral,0.0,0.0
19de81bf-26b7-49d3-b8e7-013db6b862ad,"Bank Jago, emang jagoanku. Terima kasih CS atas bantuannya dalam mengatasi permasalahan penggantian nomor HP lama ke nomor HP baru. Sukses selalu 👍👍",5,bank jago memang jago terima kasih atas bantu atas masalah ganti nomor lama nomor baru sukses selalu,positive,neutral,neutral,neutral,0.0,0.0
ac95f882-4e78-4c99-8e3b-d7e5916802c4,sangat cocok untuk saya,5,sangat cocok,positive,neutral,neutral,neutral,0.0,0.0
1df1f56b-42b9-41c5-a1bc-19dfac26a0e8,Lama kali transfernta padahal jago ke gopay,1,lama kali transfernta padahal jago gopay,negative,neutral,neutral,neutral,0.0,0.0
5eebf56b-7dd3-45d7-90ee-b78ad3f618e6,okay.....sippp...,5,okay sip,positive,positive,positive,positive,0.5,0.2263
62c2a370-a25b-45e7-977b-3bb1a8bcc4f8,kenapa akun saya tiba2 di blokir?,5,akun blokir,positive,neutral,neutral,neutral,0.0,0.0
2adf2414-6dd1-4ceb-9ad1-6cd945ce0319,pas mau nautin ke stockbit emang harus VC kah? trus kenapa selalu ditolak ya?,2,pas mau nautin stockbit memang trus selalu tolak,negative,neutral,neutral,neutral,0.0,0.0
11672990-6b74-4559-ae1f-fc93444756ba,bagus bnagt,5,bagus bnagt,positive,neutral,neutral,neutral,0.0,0.0
b8c3bf45-d2b3-4034-88d4-25a89307d4a0,"memberikan pelayanan yg baik, semoga sukses terus min😇",5,beri layan baik moga sukses terus,positive,neutral,neutral,neutral,0.0,0.0
c8af533b-8e62-4cb6-86a8-054e1405fe9a,tidak exsekuensi tidak jelas data saya tidak di gubris,1,exsekuensi jelas data gubris,negative,neutral,neutral,neutral,0.0,0.0
56af436b-8d18-48ea-bf15-499f753f2d7e,oke,5,oke,positive,neutral,neutral,neutral,0.0,0.0
6d600628-cab7-43a4-a71b-b5448c9a7be1,"Perangkat Terdeteksi Tidak Aman. Aplikasi Bank Jago ini terdeteksi sebagai Malware oleh aplikasi jaringan BRI, yaitu Brimo dan Brilink. Mohon ditanggapi ya Mimin Jago",3,perangkat deteksi aman aplikasi bank jago deteksi malware aplikasi jaring bri brimo brilink mohon tanggap mimin jago,neutral,neutral,neutral,neutral,0.0,0.0
5168f158-4990-44f7-8acd-389141fee89b,proses pengiriman transaksinya lama,2,proses kirim transaksi lama,negative,neutral,neutral,neutral,0.0,0.0
37cb9939-33a6-4316-840a-20662efe95b4,Goodd,4,goodd,positive,neutral,neutral,neutral,0.0,0.0
53b6f35e-8f2c-466c-af74-5e59ba6fd53a,aplikasi tolol mau login aja ribet kapan terakhir anda transaksi ya udah lama ga gw ingat ingat kocak,1,aplikasi tolol mau login aja ribet kapan akhir transaksi lama ingat ingat kocak,negative,neutral,neutral,neutral,0.0,0.0
