menggelikan -2
mendukung 1
keramahan 2
keteguhan hati -2
kelelahan -2
menyengat -2
kompulsif -2
akan datang -2
tidak jelas -2
menyedihkan -2
kerjasama 1
salah -2
daya tarik 2
paling aneh -2
tidak dapat dipecahkan -1
dapat digunakan 1
jatuh -2
sangat menjijikkan -2
salah menafsirkan -2
memuji 2
menodai -2
kesusahan -2
menguduskan 2
aliansi 0
mungkin 0
fiktif -2
mempesona 2
kepatuhan 1
pengkhianatan -2
nyanyian 0
dengan demikian 0
menguntungkan 2
despotisme -2
multi-polarisasi -2
tak berperasaan -2
memperhatikan 0
humornya 2
aset 1
memalukan -2
frustrasi -2
hiburan 2
mencemooh -2
ketaatan 2
sangat buruk -2
sempit -1
kesiapan 0
tak tertandingi -1
bekas luka -2
tidak menentu -2
sering -2
diulangi 0
bersukacita 2
sangat menjengkelkan -2
tidak dirancang dengan baik -2
menyapu 2
sebaiknya 2
egois -2
datar-2
membusuk -2
mengerikan -2
secara biadab -2
transparan 0
omelan -2
menerjemahkan -2
kurang bersemangat -2
tersedak -1
alasan -1
membuktikan 2
terbelah -2
roti baguette 0
badai -1
bakat 2
laporan 2
keadilan 1
histeris -2
ditahan -1
contoh 2
menyakitkan -2
wali 1
mengemis -2
mohon -2
luas jangkauannya 0
setia 2
tidak mungkin -1
terlepas dari apapun 0
dengan penuh keinginan 0
tahu 0
menampar -2
tak terelakkan -2
manusiawi 2
tidak masuk akal -2
kurang pengalaman -1
gusar -2
sangat menyakitkan -2
tirani -2
kejatuhan -2
bayangkan 0
ketaatan 2
memuliakan 2
dengan kurang ajar -2
mengamuk -2
pengemis -1
kegembiraan 2
kebaikan 2
perhatian -2
takut -2
kejutan -2
kebangkitan 1
sedikit -1
terburu-buru -2
pernyataan berlebihan -2
relevansi 1
rapuh -1
pernyataan 2
kecerobohan -2
komentar 0
keyakinan 1
tidak normal -1
menghukum -2
kekejian -2
bersinar 1
sampah -1
nasionalisme -2
mengoceh -2
radikal -2
melengkung -1
merata 1
mengisyaratkan -2
cukup dihargai 1
prasangka -2
gangguan -2
perkasa 2
empati -2
melembutkan 2
esoteris -1
remuk -1
tidak dapat dihindari -1
besar 1
kaya 1
nakal -2
ramping 1
kebebasan 1
tanpa rasa malu -2
penipuan -2
kompak 1
ikan mas -2
menganiaya -2
memaksa -2
ilusi -2
aneh -2
ilahi 2
tidak perlu -1
cinta 2
dengan kejam -1
indikatif 0
mengerikan -2
salam 2
menetralkan 1
sah 1
pada dasarnya 0
luar biasa 2
geraman -2
cangkir -2
menyelaraskan 2
khususnya 0
hiburan 2
pro-Kuba 2
omong-omong 0
semangat 2
kesatuan 1
kepolosan 1
kesayangan 2
harga lebih rendah 1
menyenangkan 2
kesetiaan 2
pusing 2
kompatibel 1
sakit -1
menonjolkan 0
renovasi 1
humanis 1
terganggu -2
ajaib 2
menyenangkan 2
sangat merepotkan -2
berbahaya -2
tampan 2
bulan -1
bereputasi baik 1
secara kaustik -2
penjahat -2
mempermalukan -2
pemberontakan -1
menjelek-jelekkan -2
akan datang -2
potong -1
ambisius 1
diragukan -2
ikut campur -2
ketidakpekaan -2
relevan 1
ular berbisa -1
bencana -2
memuaskan 2
intimidasi -1
menolak -2
melengking -2
penderitaan -2
reaksi 0
dapat dijual 1
hormat 2
kemerosotan -1
solidaritas 2
menggemparkan 1
tidak ditentukan -1
dibagi -1
intim 0
kekhawatiran -2
menenangkan 1
keajaiban 2
tidak suka -2
penjarah -2
kali -2
gagasan 0
jahat -2
benteng 0
pasif -2
tidak layak -2
ribut -2
keberuntungan 2
sedang 1
suara bulat 2
produktif 1
dengan marah -2
dibatalkan -1
disumpah 2
dorongan 2
sensasionalisasi -2
kecil -1
bulan madu 1
kusam -2
bersemangat -2
dengan jijik -2
dengan senang hati 2
pengkhianatan -2
kutub tunggal -2
panik -2
patung haluan -1
paksaan -2
kesengsaraan -2
diskontinuitas -2
suci 2
dengan tegas 0
bersemangat 2
cukup 1
tidak masuk akal -1
kebodohan -2
represi -1
menyeramkan -2
kecenderungan 0
merugikan -1
mendesak -2
cantik 2
bau -2
dengan penuh penghargaan 2
tidak patuh -1
tak terbantahkan 2
rumor -2
orang bodoh -2
tak tahu malu -2
kontroversial -1
lumayan 1
ketidaksopanan -2
abaikan -2
nona -1
melek huruf 1
rahasia -1
kurang ajar -2
orang bodoh -2
maha kuasa 2
tidak memuaskan -2
fundamentalisme -1
kewaspadaan 1
kekalahan -1
senang 2
lebih lanjut 0
hal yang tidak menyenangkan -2
secara damai 2
meringankan 1
mabuk -2
menolak -2
memfitnah -2
mengingini 0
merendahkan -2
tidak mau -2
bermanfaat 2
kebohongan -2
jempol -1
menganga -2
menggairahkan 2
menang 1
kesepian -2
toleransi 1
tidak masuk akal -2
yang paling utama 2
sederhana 1
berjuang -1
aman 1
kegigihan 1
lengkap 0
ide 0
lucu 2
kuat 1
suara 1
ejekan -2
tol -1
mahal -1
perampasan -1
dengan sadar 0
penurunan -1
merugikan diri sendiri -1
mencibir -2
kurang ajar -2
menahan -2
bangkrut -1
tidak rasional -2
imperialis -2
seperti 0
berhasil 1
tanpa henti -2
mempercantik 2
sangat mengganggu -2
pengatur pemilu -2
menjijikkan -2
kemampuan beradaptasi 1
benci -2
kelas dua -2
tidak beralasan -2
keadilan 1
kepura-puraan -1
mewah 2
mudah 2
menggembirakan 2
licik -2
menjijikkan -2
memaafkan 2
seperti dewa 2
lepaskan -2
tidak berfungsi -2
trik -2
tidak kompetitif -1
jerat -1
sifat mengejek -2
penjahat -2
tidak bisa -1
kelesuan -1
membuat tercengang 0
kritik -2
monumental 2
lebih rendah -2
tak bernyawa -1
pembohong -2
proporsional 0
berwawasan 2
bersinar 2
ekstasi 2
bodoh -2
menghargai 1
rasis -2
bajingan -2
hancurkan -2
dengan gugup -2
master 2
keajaiban 2
dengan marah -2
aib -2
arti 1
mengganggu -2
tidak menentu -2
halus 2
cabul -2
mengingatkan 2
gila -2
regresi -1
fasis -2
modis 2
menjengkelkan -2
kasar -2
dengan penuh perhatian 2
fanatisme -2
ilmiah 0
kagum 2
absurditas -2
bodohnya -2
gigih 2
kiamat -2
menghancurkan -1
keluhan -2
tenang 2
mengerikan -2
kekurangan -1
tidak berdasar -2
saran 1
buas -2
berlebihan -2
secara menyeluruh 1
bersahaja 2
menahan -1
terhubung dengan baik 2
berani -2
menghujat -2
khas 1
tidak didanai -1
berlarut-larut -1
provokatif -2
dalam -1
konsesi -1
sepele -2
mengganggu -2
keras kepala -2
membela 1
sifat pemalu -2
tersesat -1
skeptisisme -2
trik -2
mengganggu -2
mencuri -1
cukup 0
lucu 2
tamak -2
geser -2
tanpa sengaja -2
menarik 2
tidak sopan -2
dilema -2
merugikan -2
pengunduran diri -1
kepuasan 2
menarik 2
penyalahgunaan -2
tak terkalahkan 2
membolos -1
dengan berani -2
pencemar -2
saran 1
manuver -1
penghinaan -2
tolak -1
disonan -2
invasif -1
menurun -1
mengmetaforakan 0
aneh -2
dipoles 1
demam -1
bodoh -2
pendendam -2
bayangan -2
membangkitkan semangat 2
naga -2
kekesalan -2
sesat -2
kesetiaan 2
informatif 1
dengan penuh kebencian -2
aktifkan 1
pengawasan -1
kemegahan 2
keharusan 0
paling aneh -2
sangat mencengangkan 2
parasit -1
penuh kerinduan 2
palsu -2
memikat 2
promotor 2
dipertanyakan -2
pemahaman 1
anehnya -2
Maret -2
menakjubkan 2
tidak berbahaya 2
penghormatan 2
tidak rasional -2
histeria -2
nafsu 0
noda -1
pemisahan -1
advokat 2
menguntungkan 2
terampil 2
tercengang -2
sekop -2
amoralitas -2
dendam -2
kasar -2
ketat -1
rumah kaca -1
mutlak 0
memalukan -2
pertempuran -1
sangat 0
keberuntungan 2
tercela -2
berpengalaman 1
afinitas 1
tidak masuk akal -2
keberanian 2
Kepribadian 2
antipeluru -2
menegur -2
salah baca -2
bergolak -1
hedonistik -2
keramahan 2
salah menilai -2
pembunuhan -1
murung -2
menilai 0
jelas 1
dukungan 2
murah 1
pengabaian -1
bercahaya 1
bersinar 2
pesimis -2
mengerikan -2
disukai 1
penalti -1
meningkatkan 1
menolak -2
medan perang -1
tergila-gila 0
mencurigakan -2
tidak jelas -2
bersemangat -2
menumpahkan -2
menaklukkan 1
elegan 2
memfitnah -2
penderitaan -1
penjahat -2
cukup 1
memperbudak -2
menyesal -2
orang bijak 2
gulat -1
stabil 1
tidak berdasar -2
canggung -2
depresi -1
cukup 0
tidak penting -2
menguap -2
santai 1
mengakui 2
mengecewakan -2
merusak diri sendiri -2
portabel 1
gangguan -1
bencana -2
menyayat hati -2
ejekan -2
tegas -2
menggigil -2
rasis -2
tragedi -1
menyelesaikan 1
berlebihan -2
ketidakkonsistenan -2
kemiskinan -2
tidak diinginkan -2
anti pendudukan -2
menghina -2
dengan khawatir -2
sangat menjengkelkan -2
mengganggu -1
harridan -2
dibenci -2
tidak tepat -2
tidak selaras -2
informasional 0
terpesona 2
sangat menyedihkan -2
tertawa -2
memelihara 1
ancaman -1
secara melawan hukum -1
pembangkang -2
tidak adil -2
tidak bijaksana -2
pertimbangan 0
murah -2
tak tertandingi -1
tamak -2
keretakan -2
disarankan 1
teguh 2
kejujuran 2
jelas 0
kiamat -2
dengan gembira 2
waria -2
menyalakan 0
kesal -1
tidak mungkin -2
pembunuh -2
